name,sector,country,erp,size
HOFF,Retail,ES,Microsoft Dynamics - AX 2012,3
Molins,Construction,ES,SAP R3 / S4,3
Northern Data,AI Infrastructure,DE,SAP R3 / S4,3
Treatwell,Health & Wellness,GB,Netsuite,3
Samy,Marketing & Advertising,ES,Netsuite,2
Parlem,Telecom & Technology,ES,Netsuite,2
CPS Group,Engineering,ES,Microsoft Business Central,2
Grupo Construcía,Construction,ES,Microsoft Business Central,2
thePower,Education,ES,Sage 200,2
R2 Hotels,Hospitality,ES,Sage 200,2
Prodesa,Industrial,ES,SAP Business One,2
Lola Casademunt,Retail,ES,SAP Business One,2
VIKO,Marketing & Advertising,ES,Odoo,1
Cooltra,Transport & Mobility,ES,,3
VIVLA,Real Estate,ES,,1
Logalty,Legaltech / Regtech,ES,,1
Cuidacasa,Facilities Services,ES,,1
Urbia Services,Facilities Services,ES,,2
Glas Agency,Marketing & Advertising,ES,,1
PetLab Co.,Health & Wellness,GB,,2
DOJO,Payments,GB,,3
Meliá Hotels,Hospitality,ES,,3
Barceló Hotel Group,Hospitality,ES,,3
Iberostar,Hospitality,ES,,3
Riu Hotels,Hospitality,ES,,3
Palladium Hotel Group,Hospitality,ES,,3
Grupo Hotusa,Hospitality,ES,,3
Catalonia Hotels,Hospitality,ES,,2
H10 Hotels,Hospitality,ES,,2
Lopesan,Hospitality,ES,,2
Princess Hotels,Hospitality,ES,,2
Vincci Hoteles,Hospitality,ES,,2
Sercotel,Hospitality,ES,,2
Room Mate Hotels,Hospitality,ES,,2
Grupo Piñero,Hospitality,ES,,3
Petit Palace,Hospitality,ES,,1
Only YOU Hotels,Hospitality,ES,,1
Grupo Tragaluz,Hospitality,ES,,1
Grupo Larrumba,Hospitality,ES,,1
Goiko,Hospitality,ES,,2
Honest Greens,Hospitality,ES,,1
Grosso Napoletano,Hospitality,ES,,1
Grupo Saona,Hospitality,ES,,1
Restalia,Hospitality,ES,,2
Rodilla,Hospitality,ES,,2
Scalpers,Retail,ES,,2
El Ganso,Retail,ES,,2
Pompeii,Retail,ES,,1
Bimba y Lola,Retail,ES,,2
Desigual,Retail,ES,,3
Tous,Retail,ES,,3
Camper,Retail,ES,,2
Pronovias,Retail,ES,,2
Hawkers,Retail,ES,,1
Pikolinos,Retail,ES,,2
Silbon,Retail,ES,,1
Blue Banana,Retail,ES,,1
Nude Project,Retail,ES,,1
Ecoalf,Retail,ES,,1
Adolfo Domínguez,Retail,ES,,2
Kave Home,Retail,ES,,2
Tendam,Retail,ES,,3
Mayoral,Retail,ES,,2
Bimani,Retail,ES,,1
Singularu,Retail,ES,,1
PDPAOLA,Retail,ES,,1
Aristocrazy,Retail,ES,,1
UNOde50,Retail,ES,,1
Muroexe,Retail,ES,,1
Flamingos Life,Retail,ES,,1
Druni,Retail,ES,,2
Primor,Retail,ES,,2
Kiwoko,Retail,ES,,2
Tiendanimal,Retail,ES,,2
Casa del Libro,Retail,ES,,1
Mr. Wonderful,Retail,ES,,1
Ale-Hop,Retail,ES,,2
Misako,Retail,ES,,1
Aedas Homes,Real Estate,ES,,2
Neinor Homes,Real Estate,ES,,2
Vía Célere,Real Estate,ES,,2
Metrovacesa,Real Estate,ES,,2
Habitat Inmobiliaria,Real Estate,ES,,2
Culmia,Real Estate,ES,,1
Kronos Homes,Real Estate,ES,,1
Gestilar,Real Estate,ES,,1
Pryconsa,Real Estate,ES,,1
Housfy,Real Estate,ES,,1
Clikalia,Real Estate,ES,,1
Tiko,Real Estate,ES,,1
Grupo Avintia,Construction,ES,,2
Grupo Lobe,Construction,ES,,1
ACR Grupo,Construction,ES,,1
Grupo Amenabar,Construction,ES,,2
Grupo Ortiz,Construction,ES,,2
Comsa Corporación,Construction,ES,,3
Copcisa,Construction,ES,,1
Rover Grupo,Construction,ES,,1
Grupo Puentes,Construction,ES,,1
Porcelanosa,Construction,ES,,3
Cosentino,Construction,ES,,3
Roca,Construction,ES,,3
Pamesa Cerámica,Construction,ES,,2
Simon,Industrial,ES,,2
Fluidra,Industrial,ES,,3
Irizar,Industrial,ES,,2
Talgo,Industrial,ES,,2
Danobat,Industrial,ES,,1
Fagor Arrasate,Industrial,ES,,1
ULMA,Industrial,ES,,2
Orona,Industrial,ES,,2
Ingeteam,Industrial,ES,,2
Ormazabal,Industrial,ES,,2
Tubacex,Industrial,ES,,2
Vidrala,Industrial,ES,,2
Viscofan,Industrial,ES,,2
Ercros,Industrial,ES,,2
Azkoyen,Industrial,ES,,1
