currency,year,per_eur,source
AED,2015,4.075099,peg
AED,2016,4.06398,peg
AED,2017,4.14729,peg
AED,2018,4.339022,peg
AED,2019,4.111724,peg
AED,2020,4.191358,peg
AED,2021,4.346501,peg
AED,2022,3.870364,peg
AED,2023,3.972104,peg
AED,2024,3.973845,peg
AED,2025,4.14751,peg
AED,2026,4.270598,peg
AOA,2015,1075.0,reference
AOA,2016,1075.0,reference
AOA,2017,1075.0,reference
AOA,2018,1075.0,reference
AOA,2019,1075.0,reference
AOA,2020,1075.0,reference
AOA,2021,1075.0,reference
AOA,2022,1075.0,reference
AOA,2023,1075.0,reference
AOA,2024,1075.0,reference
AOA,2025,1075.0,reference
AOA,2026,1075.0,reference
ARS,2015,10.242616,ecb
ARS,2016,16.331777,ecb
ARS,2017,18.726527,ecb
ARS,2018,32.911559,ecb
ARS,2019,53.799185,ecb
ARS,2020,77.422233,ecb
ARS,2024,1111.111111,data
ARS,2025,1666.666667,data
ARS,2026,1666.666667,data
AUD,2015,1.476476,ecb
AUD,2016,1.488604,ecb
AUD,2017,1.472936,ecb
AUD,2018,1.579909,ecb
AUD,2019,1.610586,ecb
AUD,2020,1.655393,ecb
AUD,2021,1.574725,ecb
AUD,2022,1.517359,ecb
AUD,2023,1.628477,ecb
AUD,2024,1.639944,ecb
AUD,2025,1.751359,ecb
AUD,2026,1.654936,ecb
BAM,2015,1.95583,peg
BAM,2016,1.95583,peg
BAM,2017,1.95583,peg
BAM,2018,1.95583,peg
BAM,2019,1.95583,peg
BAM,2020,1.95583,peg
BAM,2021,1.95583,peg
BAM,2022,1.95583,peg
BAM,2023,1.95583,peg
BAM,2024,1.95583,peg
BAM,2025,1.95583,peg
BAM,2026,1.95583,peg
BGN,2015,1.9558,ecb
BGN,2016,1.9558,ecb
BGN,2017,1.9558,ecb
BGN,2018,1.9558,ecb
BGN,2019,1.9558,ecb
BGN,2020,1.9558,ecb
BGN,2021,1.9558,ecb
BGN,2022,1.9558,ecb
BGN,2023,1.9558,ecb
BGN,2024,1.9558,ecb
BGN,2025,1.9558,ecb
BRL,2015,3.691603,ecb
BRL,2016,3.861627,ecb
BRL,2017,3.604102,ecb
BRL,2018,4.30873,ecb
BRL,2019,4.413542,ecb
BRL,2020,5.89001,ecb
BRL,2021,6.381339,ecb
BRL,2022,5.443192,ecb
BRL,2023,5.401616,ecb
BRL,2024,5.826786,ecb
BRL,2025,6.305534,ecb
